Author,Betweenness Centrality
원종찬,0.147
류덕제,0.0997
오세란,0.0678
장수경,0.0645
이재철,0.0618
박금숙,0.0541
진선희,0.0494
염희경,0.0399
조은숙,0.0397
최미선,0.0394
최윤정,0.0382
정진헌,0.038
박종진,0.036
김상욱,0.0353
염창권,0.0351
마성은,0.0343
김유진,0.0322
이지영,0.0321
신정아,0.0317
선주원,0.031
두전하,0.0309
김제곤,0.0302
최미경,0.0298
권혁준,0.0276
위종선,0.027
김화선,0.0269
최은경,0.0268
장정희,0.0267
김상한,0.0256
박성애,0.0256
김태호,0.0254
이향근,0.0252
박영기,0.0251
방은수,0.0242
김종헌,0.0234
김지은,0.0234
김금내,0.0227
이지현,0.0225
신헌재,0.0216
박종순,0.0215
김명옥,0.0213
김동연,0.0209
이은하,0.0207
김영순,0.0207
한명숙,0.0199
오판진,0.0194
최경희,0.0194
Maria Nikolajeva,0.0193
조성순,0.0187
서동수,0.0184
안점옥,0.0179
장영미,0.0178
김민령,0.0175
최명표,0.017
강정구,0.0169
진솔,0.0165
유영종,0.0165
김현숙,0.0158
이충일,0.0157
윤혜진,0.0156
이은주,0.0153
Perry Nodelman,0.0151
정선혜,0.0147
권애영,0.0146
전명희,0.0144
남지현,0.0133
이재복,0.0131
김세희,0.013
김경희,0.0129
정용호,0.0128
이지호,0.0128
김용희,0.0128
이원수,0.0125
박영지,0.0119
김경연,0.0117
선안나,0.0112
이미정,0.0111
박명옥,0.011
천효정,0.011
백정국,0.0108
정혜원,0.0108
오현숙,0.0104
전영경,0.0104
이근영,0.0103
김영선,0.0103
최애순,0.0102
최원오,0.01
김영진,0.0097
고지혜,0.0097
안수연,0.0097
심경순,0.0097
오영민,0.0093
송수연,0.0091
권혁래,0.0091
김순규,0.0091
서향숙,0.009
Bruno Bettelheim,0.0088
한양하,0.0084
김종태,0.0082
홍창수,0.0082
최수웅,0.0081
황윤희,0.008
이상진,0.008
박상재,0.0076
노혜진,0.0075
최매화,0.0074
장만호,0.0074
신동재,0.0072
이동순,0.0071
서민정,0.007
강민경,0.0068
박혜진,0.0066
최종환,0.0061
신수정,0.0061
박사문,0.0061
이성훈,0.006
강서희,0.0059
박인경,0.0058
윤석중,0.0057
강도희,0.0057
김기택,0.0056
황혜순,0.0054
이오덕,0.0053
신권익,0.0053
기도연,0.0051
김혜정,0.0051
최배은,0.0048
이한영,0.0047
황정현,0.0045
김윤식,0.0045
김찬곤,0.0045
권혜경,0.0044
김옥선,0.0044
방정환,0.0043
김은정,0.0041
김미혜,0.004
신현득,0.004
임지연,0.004
김환희,0.0039
하근희,0.0037
김성진,0.0037
강수환,0.0037
김순녀,0.0036
권영민,0.0036
김자연,0.0036
이예은,0.0034
임성규,0.0034
김관식,0.0032
정미란,0.0031
Sigmund Freud,0.0031
박주혜,0.0031
김보경,0.0031
나병철,0.003
Gilles Deleuze,0.0029
이정석,0.0029
최운식,0.0029
백현주,0.0028
교육부,0.0027
심지섭,0.0027
박현수,0.0026
유정미,0.0025
이태준,0.0024
장민주,0.0024
이재선,0.0023
황수대,0.0023
김숙분,0.0023
조동일,0.0022
남금순,0.0021
권보드래,0.0021
M. H. Abrams,0.0021
조태봉,0.0021
김경흠,0.0021
이인화,0.0019
김요섭,0.0018
이경화,0.0018
김윤정,0.0017
최지훈,0.0017
Slavoj Zizek,0.0016
김명희,0.0015
현은자,0.0015
박목월,0.0014
박진,0.0014
권정생,0.0014
박덕규,0.0014
박태일,0.0013
Fredric Jameson,0.0013
大竹聖美,0.0013
강진호,0.0013
마해송,0.0012
조대현,0.0012
권나무,0.0012
Mikhail Bakhtin,0.0011
윤삼현,0.0011
정인섭,0.0011
이영미,0.0011
최기숙,0.0011
김선영,0.001
김종철,0.001
김만석,0.001
김준오,0.0009
이민주,0.0009
김열규,0.0009
박숙자,0.0009
이현,0.0009
황선미,0.0008
최덕교,0.0008
강소천,0.0008
김중신,0.0008
문선영,0.0008
남미영,0.0008
최원식,0.0008
원유순,0.0008
이상현,0.0007
Gyorgy Lukacs,0.0007
Kathryn Hume,0.0007
고정욱,0.0007
박숙경,0.0007
김종회,0.0007
경희대학교 한국아동문학연구센터,0.0007
오주영,0.0006
Louise Rosenblatt,0.0006
유종호,0.0006
교육과학기술부,0.0006
김서정,0.0006
Martha Nussbaum,0.0006
Walter Benjamin,0.0006
박상률,0.0006
조희웅,0.0006
최시한,0.0006
김려령,0.0006
구인환,0.0006
이정현,0.0006
최남선,0.0006
신형기,0.0006
함윤미,0.0005
James A. Banks,0.0005
신동흔,0.0005
윤금선,0.0005
유은실,0.0005
오세정,0.0005
전영선,0.0005
김정일,0.0005
최용,0.0005
문교부,0.0005
김재용,0.0005
장덕순,0.0005
윤소희,0.0005
황선열,0.0005
어효선,0.0005
김대행,0.0005
이정우,0.0005
Philippe Ariès,0.0005
Tzvetan Todorov,0.0005
최미숙,0.0005
천정환,0.0005
김남중,0.0005
Jack Zipes,0.0005
Linda Sue Park,0.0005
서정오,0.0005
박진영,0.0004
최숙희,0.0004
박인기,0.0004
김은하,0.0004
John Rowe Townsend,0.0004
유영진,0.0004
심상교,0.0004
장영희,0.0004
나선희,0.0004
장성태,0.0004
신원기,0.0004
엄혜숙,0.0004
이진경,0.0004
김이구,0.0004
김정의,0.0004
柄谷行人,0.0004
이금이,0.0004
Rosie Jackson,0.0004
이성자,0.0004
이상금,0.0004
노경수,0.0004
Edward Said,0.0003
Northrop Frye,0.0003
최태호,0.0003
김지영,0.0003
Michel Foucault,0.0003
정현선,0.0003
공지희,0.0003
장영은,0.0003
김욱동,0.0003
Vladimir Propp,0.0003
박지영,0.0003
Benedict Anderson,0.0003
양옥승,0.0003
윤복진,0.0003
이주영,0.0003
이강엽,0.0003
박지은,0.0003
박경희,0.0003
민경배,0.0003
김정은,0.0003
이현진,0.0003
Jean-Paul Sartre,0.0003
문영숙,0.0003
김도연,0.0003
김효진,0.0003
한국학중앙연구원,0.0003
김영희,0.0003
김용재,0.0003
유경환,0.0003
Seymour Chatman,0.0003
김해원,0.0003
이주홍,0.0003
손동인,0.0003
한용환,0.0003
Johan Huizinga,0.0003
박선영,0.0003
김병철,0.0002
Edward Relph,0.0002
이은서,0.0002
한연,0.0002
정유경,0.0002
이상권,0.0002
김젬마,0.0002
한정기,0.0002
박이문,0.0002
이시준,0.0002
김향금,0.0002
소영현,0.0002
Dafna Zur,0.0002
심의린,0.0002
김종대,0.0002
권오삼,0.0002
하청호,0.0002
류수열,0.0002
손인수,0.0002
오혜진,0.0002
김영균,0.0002
이수진,0.0002
이종호,0.0002
한기형,0.0002
정대련,0.0002
강영안,0.0002
이부영,0.0002
서동욱,0.0002
박현숙,0.0002
이유선,0.0002
조경숙,0.0002
이상섭,0.0002
Gaston Bachelard,0.0002
Emmanuel Levinas,0.0002
Charles Perrault,0.0002
민재원,0.0002
임종수,0.0002
유성호,0.0002
朴尙在,0.0002
장노현,0.0002
박선희,0.0002
이봉범,0.0002
최유찬,0.0002
조윤정,0.0002
위기철,0.0002
한국방정환재단,0.0002
이경수,0.0002
석용원,0.0002
Jacques Lacan,0.0002
김성희,0.0002
이영희,0.0002
이혜진,0.0002
여을환,0.0002
김은주,0.0002
김창원,0.0002
김현정,0.0002
정진,0.0002
김민진,0.0002
Carl Jung,0.0002
박춘식,0.0002
Rudine Sims Bishop,0.0002
Roger Caillois,0.0002
Mingshui Cai,0.0002
김한식,0.0002
박경수,0.0002
채택룡,0.0002
이혜정,0.0002
김동리,0.0002
조성면,0.0002
本田和子,0.0002
Walter J. Ong,0.0002
이선,0.0001
박은주,0.0001
정목일,0.0001
이상희,0.0001
Oscar Wilde,0.0001
정현아,0.0001
이성강,0.0001
EBS,0.0001
천희순,0.0001
한정동,0.0001
한용희,0.0001
이성은,0.0001
권윤덕,0.0001
박남수,0.0001
Giorgio Agamben,0.0001
이안,0.0001
박명림,0.0001
천경록,0.0001
진형민,0.0001
임신행,0.0001
박세영,0.0001
박승희,0.0001
오길주,0.0001
류대영,0.0001
윤여탁,0.0001
박태상,0.0001
최동호,0.0001
강만길,0.0001
강문희,0.0001
김혜경,0.0001
김중철,0.0001
이순욱,0.0001
정길연,0.0001
박윤경,0.0001
Ernst Cassirer,0.0001
최정원,0.0001
엄해영,0.0001
이현주,0.0001
이현재,0.0001
이옥수,0.0001
강준만,0.0001
이숭원,0.0001
우한용,0.0001
Wolfgang Kayser,0.0001
최준,0.0001
김남혁,0.0001
高木敏雄,0.0001
이경재,0.0001
배봉기,0.0001
이준관,0.0001
김기림,0.0001
정해왕,0.0001
임태희,0.0001
임길택,0.0001
岡眞理,0.0001
김동섭,0.0001
Wayne Booth,0.0001
이희정,0.0001
조현우,0.0001
이희은,0.0001
이혜수,0.0001
심명숙,0.0001
이태동,0.0001
박민수,0.0001
정병규,0.0001
최열,0.0001
Gerard Genette,0.0001
이성욱,0.0001
Yi-Fu Tuan,0.0001
정대현,0.0001
조선어학회,0.0001
상허학회,0.0001
전원범,0.0001
조선희,0.0001
박영만,0.0001
송주연,0.0001
서정민,0.0001
박소영,0.0001
문지영,0.0001
황병주,0.0001
김수연,0.0001
정미경,0.0001
Antonio Negri,0.0001
박영민,0.0001
Arnold Hauser,0.0001
안미란,0.0001
정혜경,0.0001
정진희,0.0001
김진우,0.0001
Bruce Fink,0.0001
김현,0.0001
정진석,0.0001
심영의,0.0001
김태준,0.0001
김태오,0.0001
조연현,0.0001
이경혜,0.0001
김기창,0.0001
이지용,0.0001
김바다,0.0001
송완순,0.0001
김미영,0.0001
Hal Foster,0.0001
서대석,0.0001
이지나,0.0001
이지원,0.0001
박태호,0.0001
박정선,0.0001
김동춘,0.0001
이수경,0.0001
윤대선,0.0001
정운채,0.0001
양연주,0.0001
송건호,0.0001
이은진,0.0001
손진태,0.0001
조현설,0.0001
성기조,0.0001
서혁,0.0001
Rosi Braidotti,0.0001
우신영,0.0001
서울대학교 국어교육연구소,0.0001
백용식,0.0001
김수경,0.0001
최현주,0.0001
성은혜,0.0001
한홍구,0.0001
박홍근,0.0001
백정숙,0.0001
강정연,0.0001
문선이,0.0001
최래옥,0.0001
정지용,0.0001
엄흥섭,0.0001
임화,0.0001
Roland Barthes,0.0001
문순홍,0.0001
박성우,0.0001
Judith Herman,0.0001
이해영,0.0001
김권호,0.0001
김미란,0.0001
박기수,0.0001
이승연,0.0001
이형식,0.0001
이종석,0.0001
민윤식,0.0001
김경옥,0.0001
정진채,0.0001
김태경,0.0001
김광식,0.0001
문한별,0.0001
홍성식,0.0001
겨레아동문학연구회,0.0001
박상준,0.0001
황혜진,0.0001
김병익,0.0001
김향미,0.0001
이종문,0.0001
박화목,0.0001
정진숙,0.0001
김미정,0.0001
강인철,0.0001
김정현,0.0001
김우경,0.0001
홍정선,0.0001
Leela Gandhi,0.0001
김현희,0.0001
정미영,0.0001
편집부,0.0001
김옥순,0.0001
김형진,0.0001
Jean Piaget,0.0001
정복화,0.0001
도종환,0.0001
홍의정,0.0001
최홍원,0.0001
강미라,0.0001
이윤희,0.0001
김애령,0.0001
한국정신문화연구원,0.0001
김지연,0.0001
김용민,0.0001
임지현,0.0001
김성도,0.0001
김종렬,0.0001
Christine Sleeter,0.0001
이지은,0.0001
곽춘옥,0.0001
김병연,0.0001
Gérard Genette,0.0001
김흥규,0.0001
Bill Ashcroft,0.0001
고장원,0.0001
대한출판문화협회,0.0001
仲村修,0.0001
노운서,0.0001
John Dewey,0.0001
류희정,0.0001
권희경,0.0001
성기옥,0.0001
이선민,0.0001
안미영,0.0001
채인선,0.0001
김경우,0.0001
공선희,0.0001
소중애,0.0001
眞田博子,0.0001
이명재,0.0001
한형구,0.0001
김봉희,0.0001
河原和音,0.0001
정호승,0.0001
이선영,0.0001
김선희,0.0001
김주연,0.0001
오장환,0.0001
이용재,0.0001
안도현,0.0001
한상정,0.0001
박성희,0.0001
조준호,0.0001
고형진,0.0001
이윤미,0.0001
리철만,0.0
Dan Slott,0.0
Hoarcourt,0.0
목수현,0.0
Chengdi Sun,0.0
공석하,0.0
김진주,0.0
김근식,0.0
곽영미,0.0
김공숙,0.0
米村みゆき,0.0
구상,0.0
Hesiod,0.0
琴洪主,0.0
Diane Macdonell,0.0
Donna Haraway,0.0
박규태,0.0
권일송,0.0
고인석,0.0
권혁준.,0.0
박균섭,0.0
문용린,0.0
김정인,0.0
박균열,0.0
권오만,0.0
권민균,0.0
구진령,0.0
Ernst Kamnitzer,0.0
김인호,0.0
Hartmut Geerken,0.0
문혜진,0.0
琴兒,0.0
久保貞次郞,0.0
Helen Bee,0.0
박기혁,0.0
곽의숙,0.0
David Wood,0.0
리정실,0.0
Laura Justice,0.0
Jacques Rancière,0.0
John Lewis Gaddis,0.0
Olivier Reboul,0.0
김회용,0.0
魯迅,0.0
Philippe Julien,0.0
漣山人,0.0
呂麗麗,0.0
Robie Macauley,0.0
Ulrike Bastian,0.0
라설하,0.0
藤森淳三,0.0
Roman Jakobson,0.0
Trence Hawkes,0.0
Thu Hanh Nguyen,0.0
大阪國際兒童文學館編,0.0
김효신,0.0
김효주,0.0
Sylvain Lazarus,0.0
Sarah Hardstaff,0.0
박미경,0.0
단대출판부,0.0
노동은,0.0
남기철,0.0
Susanne Denham,0.0
나정원,0.0
김흥식,0.0
Steven Luke,0.0
Steven Cohan,0.0
Stanley Fish,0.0
Seymour Chatman,0.0
OHCHR,0.0
Nick Lund,0.0
Michael Halliday,0.0
김철수,0.0
고설,0.0
Judy Wajcman,0.0
강헌국,0.0
리룡빈,0.0
Keith Rayner,0.0
리금철,0.0
강은모,0.0
강영기,0.0
륙애화,0.0
강대건,0.0
김천혜,0.0
L. S. Vygotskii,0.0
류지헌,0.0
김학재,0.0
김호일,0.0
金鶴哲,0.0
Yifang Wang,0.0
Louis E. Catron,0.0
Macmillan McGrow-Hill,0.0
김현진,0.0
김혜니,0.0
劉洋,0.0
Winfred Ward,0.0
Manuel Puig,0.0
Virginia Woolf,0.0
Maria Eckstein,0.0
劉緖源,0.0
劉思謙,0.0
박명용,0.0
오혜림,0.0
Charles Dickens,0.0
邵霖生,0.0
장은영,0.0
장영,0.0
矢幡洋,0.0
자오잉치우,0.0
신연호,0.0
임보람,0.0
임명길,0.0
이효림,0.0
신영덕,0.0
이형기,0.0
신정호,0.0
이평전,0.0
신종태,0.0
신태수,0.0
이청준,0.0
심은희,0.0
이창수,0.0
安藤恭子,0.0
이주미,0.0
장현,0.0
송호림,0.0
송아름,0.0
정선미,0.0
정형,0.0
정태헌,0.0
정창원,0.0
정주원,0.0
小林弘忠,0.0
정신재,0.0
정소연,0.0
정선주,0.0
井上ひさし,0.0
齋藤佐次郞,0.0
손서은,0.0
정삼현,0.0
전은숙,0.0
전영길,0.0
전상숙,0.0
손숙외,0.0
손진원,0.0
畑山博,0.0
이정선,0.0
안철구,0.0
이은선,0.0
유주리,0.0
尹晶晶,0.0
葉依群,0.0
오경호,0.0
오규원,0.0
윤세평,0.0
오스카 G. 브로켓,0.0
윤군,0.0
유효경,0.0
유재성,0.0
양정임,0.0
오은엽,0.0
유은영,0.0
유용태,0.0
유불란,0.0
우윤중,0.0
王恒升,0.0
오태호,0.0
王瑤,0.0
엄호삼,0.0
은비얼,0.0
이원수 탄생 백주년 기념문집 준비위원회,0.0
野村武史,0.0
이용교,0.0
이영자,0.0
이영구,0.0
이승기,0.0
이송순,0.0
이성환,0.0
이성준,0.0
巖谷小波,0.0
이선주,0.0
이기범,0.0
이상의,0.0
이상경,0.0
이미란,0.0
이명희,0.0
이명화,0.0
楊克敏,0.0
이도환,0.0
이길성,0.0
鄭惠瓊,0.0
정혜진,0.0
Bryan Turner,0.0
정홍섭,0.0
한철호,0.0
한영혜,0.0
한영옥,0.0
한세은,0.0
한낙원,0.0
박종렬,0.0
한국소설학회,0.0
하경수,0.0
平林武雄,0.0
박진희,0.0
평론,0.0
토지문학재단,0.0
박충석,0.0
박태균,0.0
沖野岩三郞,0.0
박한비,0.0
춘천백년사편찬위원회,0.0
屋上新兵衛,0.0
박해영,0.0
박정임,0.0
夏硕军,0.0
허명섭,0.0
박윤영,0.0
박민규,0.0
박서진,0.0
Bob Rehder,0.0
박소올,0.0
Andrew Goatly,0.0
颜士静,0.0
陈东阳,0.0
张天翼,0.0
황석영,0.0
허원기,0.0
홍은영,0.0
홍성태,0.0
박정미,0.0
홍석표,0.0
홍기삼,0.0
叶圣陶,0.0
허지연,0.0
허종호,0.0
최정희,0.0
박혜리나,0.0
방인옥,0.0
서남주,0.0
조윤제,0.0
杉浦靜,0.0
鳥越信編,0.0
조우실,0.0
三浦卓,0.0
上笙一郞,0.0
조성숙,0.0
서강여성성문학연구회,0.0
조선문학가동맹,0.0
佐藤宗子,0.0
조문환,0.0
서재균,0.0
조경정,0.0
서효주,0.0
趙景深,0.0
성경수,0.0
成實朋子,0.0
조갑상,0.0
조희건,0.0
좌종화,0.0
최재성,0.0
최용호,0.0
방정환연구소,0.0
배익천,0.0
백상현,0.0
최은주,0.0
백정희,0.0
북악산인,0.0
뿌라운리,0.0
최윤수,0.0
최금숙,0.0
森山茂樹,0.0
최고원,0.0
차사백,0.0
차남희,0.0
사설,0.0
謝振聲,0.0
중앙대학교 80년사 편찬실무위원회,0.0
주체철학교과서집필조,0.0
주세형,0.0
이지언,0.0
유덕희,0.0
김기봉,0.0
교보문고,0.0
김사림,0.0
김병욱,0.0
김민환,0.0
김민남,0.0
김명훈,0.0
김기흥,0.0
김국태,0.0
김광욱,0.0
권인숙,0.0
권성아,0.0
龜井俊介,0.0
구아람,0.0
곽광수,0.0
대한교육연합회,0.0
孔海珠,0.0
공성구,0.0
고현철,0.0
고종욱,0.0
고영자,0.0
桂鎔默,0.0
경상남도 교육연구원,0.0
경남아동문학회,0.0
강재철,0.0
강민희,0.0
강계숙,0.0
Yuval Harari,0.0
김세한,0.0
김소원,0.0
김소형,0.0
김수용,0.0
노숭욱,0.0
노명우,0.0
남진우,0.0
南應孫,0.0
南夕鐘,0.0
남경희,0.0
金八峰,0.0
김태환,0.0
김태웅,0.0
金泰午,0.0
김춘식,0.0
김창군,0.0
김종필,0.0
김종옥,0.0
김종삼,0.0
김재철,0.0
김재웅,0.0
김인해,0.0
김유신,0.0
김원용,0.0
김우종,0.0
김용환,0.0
김용일,0.0
김영환,0.0
김영미,0.0
wikipedia,0.0
Victoria Wagner-Greene,0.0
Umberto Eco,0.0
Marc Bornstein,0.0
Linda Hutcheon,0.0
Kathleen Morner,0.0
Jonothan Neelands,0.0
John O'Toole,0.0
John Macqueen,0.0
Edward James,0.0
Jack Barbalet,0.0
J. D. Bernal,0.0
Ivan Corina,0.0
Ishaan Sahdev,0.0
Homi Bhabha,0.0
Henry James,0.0
Heinz Rolleke,0.0
H. Porter Abbott,0.0
George Horace Gallup,0.0
Gavin Bolton,0.0
Fritz Heinemann,0.0
Franco Moretti,0.0
Ellen E. M. Roberts,0.0
Edgar Morin,0.0
E. M. Forster,0.0
Donna Harraway,0.0
Dimitri Nikulin,0.0
David Lowenthal,0.0
David Davis,0.0
Lyn Shillingford,0.0
Marshall McLuhan,0.0
Thinkgaming,0.0
Matei Călinescu,0.0
The Pokemon GO team,0.0
The Pokemon company,0.0
Stefan Lorenz Sorgner,0.0
Shana Corey,0.0
Saul Feinman,0.0
Ronald T. Azuma,0.0
Robert Tucker,0.0
Robert Scholes,0.0
Robert Penn Warren,0.0
Rob Latham,0.0
Renée DePalma,0.0
Rene Wellek,0.0
Ray Kurzweil,0.0
R. Wooster,0.0
R. L. Berett,0.0
Pokemon,0.0
Philippa Pearce,0.0
Otto. F. Bollnow,0.0
Neil Badmington,0.0
N. Katherine Hayles,0.0
Monika Langer,0.0
Colin Milburn,0.0
Mike Elgan,0.0
Michael Ende,0.0
Matt Weinberger,0.0
노철,0.0
Roger Sabin,0.0
김남영,0.0
엄지혜,0.0
原昌,0.0
운보 김기창 전작도록 발간 위원회,0.0
우희정,0.0
王泉根,0.0
王蕾,0.0
오태영,0.0
오창섭,0.0
오일환,0.0
오윤희,0.0
오새내,0.0
葉聖陶,0.0
嚴興燮,0.0
양주동,0.0
류근원,0.0
野家啓,0.0
안숭범,0.0
심은경,0.0
심우장,0.0
심경호,0.0
신혜선,0.0
신현배,0.0
신채호,0.0
신창호,0.0
신은수,0.0
신숙현,0.0
신세니,0.0
월간미술,0.0
유문선,0.0
유약우,0.0
유재일,0.0
이원조,0.0
이원복,0.0
이영철,0.0
이솝,0.0
이석중,0.0
이상구,0.0
이보영,0.0
이미나,0.0
이무영,0.0
이명호,0.0
이명수,0.0
이동배,0.0
이도학,0.0
이덕일,0.0
이남호,0.0
이기영,0.0
이기숙,0.0
이건청,0.0
음영철,0.0
을유문화사,0.0
윤영옥,0.0
윤성용,0.0
윤민우,0.0
윤내현,0.0
유정배,0.0
신문기사,0.0
신명균,0.0
신동일,0.0
박재영,0.0
박은식,0.0
朴英熙,0.0
박영목,0.0
박양호,0.0
박수연,0.0
박송,0.0
박선양,0.0
박병준,0.0
박동규,0.0
박관수,0.0
박경리,0.0
민주식,0.0
閔丙徽,0.0
문혜윤,0.0
文章社編輯部,0.0
문승숙,0.0
목해균,0.0
李豔茹,0.0
林和,0.0
李俊佑,0.0
李定鎬,0.0
李永求,0.0
李無影,0.0
李林靜,0.0
劉英民,0.0
박일우,0.0
박조원,0.0
昇曉灘,0.0
박종수,0.0
송효정,0.0
송하섭,0.0
송영근,0.0
송방송,0.0
송미경,0.0
송도중고등학교동창회,0.0
손상익,0.0
손목인,0.0
성영아,0.0
선영미,0.0
서현,0.0
서은영,0.0
徐永大,0.0
서남희,0.0
새벗社,0.0
부천만화센터,0.0
부산대학교 한국민족문화연구소,0.0
本社,0.0
백희나,0.0
백선혜,0.0
백낙준,0.0
朴熙道,0.0
박홍주,0.0
박홍근 선생을 기리는 모임,0.0
박혜경,0.0
Christine Nöstlinger,0.0
Cecily O'Neill,0.0
Bruder Grimm,0.0
방금단,0.0
서미숙,0.0
山本鼎,0.0
사회과학원 철학연구소,0.0
사회과학원 력사연구소,0.0
社說,0.0
復刻板,0.0
白世哲,0.0
배영기,0.0
배선옥,0.0
배미주,0.0
배문성,0.0
방재석,0.0
박희영,0.0
Bruce Clarke,0.0
박행신,0.0
박해숙,0.0
朴泰遠,0.0
박주연,0.0
박은태,0.0
박윤선,0.0
박유선,0.0
박용열,0.0
박영식,0.0
박상천,0.0
朴炳道,0.0
박경효,0.0
서병철,0.0
서울대학교 국어교육학 연구소,0.0
서유경,0.0
서유석,0.0
어린이도서연구회 역사편찬위원회,0.0
양은주,0.0
양소영,0.0
양선규,0.0
양병석,0.0
안형관,0.0
安德根,0.0
안남일,0.0
辻泰秀,0.0
심영덕,0.0
심귀연,0.0
신진,0.0
신용협,0.0
신연우,0.0
신명직,0.0
신기욱,0.0
송주경,0.0
송우혜,0.0
小野寺信,0.0
성현주,0.0
雪松兒,0.0
석경징,0.0
서정철,0.0
서정남,0.0
서재원,0.0
민찬,0.0
민족문학사연구소 기초학문연구단,0.0
민경찬,0.0
김진경,0.0
김정빈,0.0
김재형,0.0
金逸岩,0.0
김인조,0.0
김이플,0.0
김은자,0.0
김은옥,0.0
김윤,0.0
김웅길,0.0
김우창,0.0
김용휘,0.0
김영호,0.0
김영무,0.0
김승옥,0.0
金素雲,0.0
김서연,0.0
金炳昊,0.0
김병주,0.0
김병선,0.0
김범석,0.0
김미애,0.0
김면성,0.0
김만식,0.0
김동혁,0.0
김동성,0.0
김주성,0.0
김진나,0.0
모희준,0.0
金泰午,0.0
명지원,0.0
마광수,0.0
林炳哲,0.0
李華龍,0.0
리창수,0.0
李鐘嗚,0.0
리의도,0.0
李新主,0.0
李共鳴,0.0
柳雲卿,0.0
류수연,0.0
듀나,0.0
두산백과,0.0
대한특수교육학회,0.0
대중서사연구회,0.0
대중문학연구회,0.0
노제운,0.0
南夕鍾,0.0
남미자,0.0
김희주,0.0
김혜미,0.0
김혜련,0.0
김현룡,0.0
김학동,0.0
김하늬,0.0
연세대학교 HUNO 프로젝트 연구단,0.0
오강원,0.0
오영섭,0.0
최학송,0.0
최은하,0.0
최영옥,0.0
최양선,0.0
최병화,0.0
최금락,0.0
최교연,0.0
천보추이,0.0
창비어린이 편집부,0.0
차호일,0.0
차웅렬,0.0
秦孝仪,0.0
中国人民政治协商会议全国委员会文史资料研究委员会,0.0
조채영,0.0
조재영,0.0
조윤형,0.0
조월례,0.0
조용호,0.0
朝鮮日報70年史편찬위원회,0.0
조선영화,0.0
조미영,0.0
조계숙,0.0
조경원,0.0
정호정,0.0
정혜욱,0.0
정해천,0.0
최인욱,0.0
최혜진,0.0
정윤주,0.0
Karl Marx,0.0
Brian Edmiston,0.0
Bernhard H. F,0.0
Barbara Rogoff,0.0
韩雅春,0.0
陈伯吹,0.0
张燕,0.0
刘绪源,0.0
황현숙,0.0
황수영,0.0
황도경,0.0
홍종선,0.0
홍장학,0.0
홍영철,0.0
홍순석,0.0
홍경실,0.0
함종규,0.0
함돈균,0.0
한현정,0.0
